SIZE DEPTH TIME(s)
3x3 1 0.017153705000964692
3x3 1 0.021050365001428872
3x3 1 0.01681405899944366
3x3 1 0.02151419999972859
3x3 1 0.01616710899907048
4x4 1 0.33285346800039406
4x4 1 0.33245636699939496
4x4 1 0.3350941539993073
4x4 1 0.3358655549982359
4x4 1 0.3347454589984409
5x5 1 1.732935735000865
5x5 1 1.7290569540000433
5x5 1 1.7354908779998368
5x5 1 1.7469055729998217
5x5 1 1.7497132629996486
3x3 2 0.0748511799993139
3x3 2 0.06983891900017625
3x3 2 0.06863719600005425
3x3 2 0.07175950600139913
3x3 2 0.06537413899968669
4x4 2 1.4250509219982632
4x4 2 1.4292456380007934
4x4 2 1.4548574239997834
4x4 2 1.4241046120005194
4x4 2 1.419328043999485
5x5 2 14.5931073440006
5x5 2 14.862572313999408
5x5 2 14.833394344001135
5x5 2 14.892518836999443
5x5 2 14.770545306000713
3x3 3 0.2810096169996541
3x3 3 0.2779408050009806
3x3 3 0.28098025799954485
3x3 3 0.27949095700023463
3x3 3 0.2833107539991033
4x4 3 13.39086145500005
4x4 3 13.394119765998767
4x4 3 13.35856819000037
4x4 3 13.323385073999816
4x4 3 13.35762697500104
5x5 3 212.28915080799925
5x5 3 216.00534649200017
5x5 3 215.8301113460002
5x5 3 215.43015157599984
5x5 3 214.92363226499947
