SIZE DEPTH TIME(s)
3x3 1 0.017132570001194836
3x3 1 0.01977161400100158
3x3 1 0.016460622999147745
3x3 1 0.020225332000336493
3x3 1 0.015216634001262719
4x4 1 0.3279654060006578
4x4 1 0.33448774999851594
4x4 1 0.3350988050005981
4x4 1 0.3313637680003012
4x4 1 0.3355648789984116
5x5 1 1.7256872540001496
5x5 1 1.7530134070002532
5x5 1 1.7409779299996444
5x5 1 1.7291239839996706
5x5 1 1.7254509659996984
3x3 2 0.15223843800049508
3x3 2 0.15880694500083337
3x3 2 0.1530430550010351
3x3 2 0.1526858289998927
3x3 2 0.15158993899967754
4x4 2 5.535605334000138
4x4 2 5.556092950000675
4x4 2 5.544271152000874
4x4 2 6.560172352999871
4x4 2 6.901981973000147
5x5 2 64.35352682599842
5x5 2 63.65661851799996
5x5 2 64.71132658100032
5x5 2 63.75258832000145
5x5 2 63.83888137299982
3x3 3 1.3565738600009354
3x3 3 1.3791025789996638
3x3 3 1.3589191999999457
3x3 3 1.3762121609997848
3x3 3 1.3659485690004658
4x4 3 147.97782589999952
4x4 3 147.71453287400072
4x4 3 148.01899931200023
4x4 3 147.95944248500018
4x4 3 148.02575077899928
